label,starting_capital,final_capital,total_pnl,return_pct,total_trades,wins,losses,win_rate,profit_factor,max_drawdown_pct,blocked_signals,profitable_days,loss_days
BASELINE,10000,2154405.0,2144405.0,21444.0,382,211,171,55.2,1.86,48.8,0,58,41
VWAP,10000,1460177.0,1450177.0,14501.8,324,173,151,53.4,1.68,72.3,98,57,41
HTF/LTF,10000,2002427.0,1992427.0,19924.3,383,208,175,54.3,1.77,48.1,15,58,41
SLcd6,10000,2027432.0,2017432.0,20174.3,357,198,159,55.5,1.84,49.5,53,59,40
Hi-40,10000,1616730.0,1606730.0,16067.3,333,176,157,52.9,1.69,63.1,93,59,40
LH,10000,1159158.0,1149158.0,11491.6,232,123,109,53.0,1.72,35.4,307,46,24
VWAP+HTF/LTF+SLcd6+Hi-40+LH,10000,1142265.0,1132265.0,11322.6,207,111,96,53.6,1.78,31.4,333,46,23
